Main Category,Luxury / International Brand,Pakistani Luxury / Designer Brand,Local Affordable Brand (Dupe),Luxury_Price_Range(PKR),Local_Price_Range(PKR),,,Local Dupe Brand Link
Women → Stitched,Gucci,Élan,Khaadi Pret,"400,000 – 1,200,000","3,000 – 15,000",,,https://khaadi.com
Women → Stitched,Dior,Sania Maskatiya,Sapphire Pret,"400,000 – 1,200,000","3,000 – 15,000",,,https://pk.sapphireonline.pk
Women → Stitched,Chanel,HSY,Limelight Pret,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.limelight.pk
Women → Stitched,Prada,Nomi Ansari,Ethnic by Outfitters,"400,000 – 1,200,000","3,000 – 15,000",,,https://ethnic.pk
Women → Stitched,Louis Vuitton,Asim Jofa,Beechtree,"400,000 – 1,200,000","3,000 – 15,000",,,https://beechtree.pk
Women → Stitched,Valentino,Farah Talib Aziz,Warda,"400,000 – 1,200,000","3,000 – 15,000",,,https://warda.com.pk
Women → Stitched,Dolce & Gabbana,Maria B,Cross Stitch Pret,"400,000 – 1,200,000","3,000 – 15,000",,,https://crossstitch.pk
Women → Stitched,Ralph Lauren Collection,Hussain Rehar,Zellbury,"400,000 – 1,200,000","3,000 – 15,000",,,https://zellbury.com
Women → Stitched,Michael Kors Collection,Tena Durrani,Kayseria,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.kayseria.com
Women → Stitched,Versace,MNR,Rang Rasiya,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.rangrasiya.com
Women → Stitched,Balmain,Nida Azwer,Charizma,"400,000 – 1,200,000","3,000 – 15,000",,,https://charizma.pk
Women → Stitched,Oscar de la Renta,Saira Rizwan,Saya,"400,000 – 1,200,000","3,000 – 15,000",,,https://saya.pk
Women → Stitched,Burberry,Deepak Perwani,Afrozeh,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.afrozeh.com
Women → Stitched,Alexander McQueen,Ali Xeeshan,Generation,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.generation.com.pk
Women → Stitched,Max Mara,Mehdi Couture,Bonanza Satrangi,"400,000 – 1,200,000","3,000 – 15,000",,,https://bonanzasatrangi.com
Women → Stitched,Zimmermann,Sadaf Fawad Khan,Nishat Linen,"400,000 – 1,200,000","3,000 – 15,000",,,https://nishatlinen.com
Women → Stitched,Carolina Herrera,Erum Khan,So Kamal,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.sokamal.com
Women → Stitched,Ralph & Russo,Umar Sayeed,Zellbury Premium,"400,000 – 1,200,000","3,000 – 15,000",,,https://zellbury.com
Women → Stitched,Givenchy,Republic by Omer Farooq,Khaadi Luxe,"400,000 – 1,200,000","3,000 – 15,000",,,https://khaadi.com
Women → Stitched,Fendi,Tena Durrani Luxe,Ethnic Luxe,"400,000 – 1,200,000","3,000 – 15,000",,,https://ethnic.pk
Women → Stitched,Miu Miu,Élan Luxe,Beechtree Luxe,"400,000 – 1,200,000","3,000 – 15,000",,,https://beechtree.pk
Women → Stitched,Balenciaga,Asim Jofa Festive,Charizma Luxe,"400,000 – 1,200,000","3,000 – 15,000",,,https://charizma.pk
Women → Stitched,Tom Ford,Nomi Ansari Couture,Rang Rasiya Luxe,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.rangrasiya.com
Women → Stitched,Chloé,Farah Talib Aziz Luxe,Sapphire Luxe,"400,000 – 1,200,000","3,000 – 15,000",,,https://pk.sapphireonline.pk
Women → Stitched,Roberto Cavalli,Hussain Rehar Couture,Maria B Pret,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.mariab.pk
Women → Stitched,Emilio Pucci,HSY Formal,Warda Luxe,"400,000 – 1,200,000","3,000 – 15,000",,,https://warda.com.pk
Women → Stitched,Off-White,Sania Maskatiya Formal,Cross Stitch Premium,"400,000 – 1,200,000","3,000 – 15,000",,,https://crossstitch.pk
Women → Stitched,Tory Burch,Élan Festive,Limelight Formal,"400,000 – 1,200,000","3,000 – 15,000",,,https://www.limelight.pk
Women → Stitched,Kate Spade,Maria B Casual,Khaadi Casual,"400,000 – 1,200,000","3,000 – 15,000",,,https://khaadi.com
Women → Stitched,Massimo Dutti,Generation Pret,Beechtree Everyday,"400,000 – 1,200,000","3,000 – 15,000",,,https://beechtree.pk
Women → Unstitched,Hermès,Maria B Lawn,Khaadi Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://khaadi.com
Women → Unstitched,Etro,Sana Safinaz Muzlin,Sapphire Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://pk.sapphireonline.pk
Women → Unstitched,Emilio Pucci,Élan Lawn,Limelight Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://www.limelight.pk
Women → Unstitched,Dolce & Gabbana Alta Moda,Asim Jofa Festive,Beechtree Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://beechtree.pk
Women → Unstitched,Valentino,Nureh,Cross Stitch Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://crossstitch.pk
Women → Unstitched,Gucci,Afrozeh,Warda Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://warda.com.pk
Women → Unstitched,Dior,Farasha,Zellbury Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://zellbury.com
Women → Unstitched,Chanel,Charizma Festive,Kayseria,"300,000 – 900,000","2,000 – 10,000",,,https://www.kayseria.com
Women → Unstitched,Prada,Rang Rasiya Festive,Saya,"300,000 – 900,000","2,000 – 10,000",,,https://saya.pk
Women → Unstitched,Louis Vuitton,Tena Durrani Festive,Bonanza Satrangi,"300,000 – 900,000","2,000 – 10,000",,,https://bonanzasatrangi.com
Women → Unstitched,Versace,Nida Azwer Lawn,So Kamal,"300,000 – 900,000","2,000 – 10,000",,,https://www.sokamal.com
Women → Unstitched,Oscar de la Renta,Hussain Rehar Lawn,Nishat Linen,"300,000 – 900,000","2,000 – 10,000",,,https://nishatlinen.com
Women → Unstitched,Balmain,FTA Festive,Gul Ahmed (Ideas),"300,000 – 900,000","2,000 – 10,000",,,https://www.ideas.com.pk
Women → Unstitched,Ralph Lauren Collection,MNR Festive,Alkaram Studio,"300,000 – 900,000","2,000 – 10,000",,,https://www.alkaramstudio.com
Women → Unstitched,Michael Kors,Sania Maskatiya Lawn,Ittehad Textiles,"300,000 – 900,000","2,000 – 10,000",,,https://www.ittehadtextiles.com
Women → Unstitched,Carolina Herrera,Erum Khan Lawn,Zellbury Premium Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://zellbury.com
Women → Unstitched,Max Mara,HSY Lawn Collection,Charizma Premium,"300,000 – 900,000","2,000 – 10,000",,,https://charizma.pk
Women → Unstitched,Givenchy,Deepak Perwani Lawn,Rang Rasiya Luxe,"300,000 – 900,000","2,000 – 10,000",,,https://www.rangrasiya.com
Women → Unstitched,Burberry,Élan Festive Lawn,Sapphire Unstitched,"300,000 – 900,000","2,000 – 10,000",,,https://pk.sapphireonline.pk
Women → Unstitched,Fendi,Farah Talib Aziz Lawn,Khaadi Luxe Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://khaadi.com
Women → Unstitched,Tom Ford,Nomi Ansari Festive,Limelight Unstitched,"300,000 – 900,000","2,000 – 10,000",,,https://www.limelight.pk
Women → Unstitched,Roberto Cavalli,Mehdi Couture Lawn,Beechtree Unstitched,"300,000 – 900,000","2,000 – 10,000",,,https://beechtree.pk
Women → Unstitched,Balenciaga,Asim Jofa Luxury Lawn,Cross Stitch Luxe,"300,000 – 900,000","2,000 – 10,000",,,https://crossstitch.pk
Women → Unstitched,Off-White,Sania Maskatiya Festive,Saya Luxe Lawn,"300,000 – 900,000","2,000 – 10,000",,,https://saya.pk
Women → Unstitched,Tory Burch,Élan Premium Lawn,Bonanza Satrangi Premium,"300,000 – 900,000","2,000 – 10,000",,,https://bonanzasatrangi.com
Women → Unstitched,Kate Spade,Maria B MPrints,Warda Unstitched,"300,000 – 900,000","2,000 – 10,000",,,https://warda.com.pk
Women → Unstitched,Massimo Dutti,Generation Lawn,Kayseria Classic,"300,000 – 900,000","2,000 – 10,000",,,https://www.kayseria.com
Women → Unstitched,Ralph & Russo,Hussain Rehar Premium,Sapphire Festive,"300,000 – 900,000","2,000 – 10,000",,,https://pk.sapphireonline.pk
Women → Unstitched,Zimmermann,Tena Durrani Luxe,Afrozeh Premium,"300,000 – 900,000","2,000 – 10,000",,,https://www.afrozeh.com
Women → Unstitched,Alexander McQueen,Nida Azwer Festive,Khaadi Premium,"300,000 – 900,000","2,000 – 10,000",,,https://khaadi.com
Women → Western Wear,Gucci,Outfitters Women Premium,Outfitters Women,"100,000 – 500,000","2,000 – 6,000",,,https://outfitters.com.pk
Women → Western Wear,Balenciaga,Breakout Premium,Breakout,"100,000 – 500,000","2,000 – 6,000",,,https://www.breakout.com.pk
Women → Western Wear,Dior,Engine Premium,Engine,"100,000 – 500,000","2,000 – 6,000",,,https://engine.com.pk
Women → Western Wear,Prada,Leisure Club Elite,Leisure Club,"100,000 – 500,000","2,000 – 6,000",,,https://leisureclub.pk
Women → Western Wear,Louis Vuitton,Ethnic Western Line,Ethnic by Outfitters,"100,000 – 500,000","2,000 – 6,000",,,https://ethnic.pk
Women → Western Wear,Chanel,Lama Retail,Limelight Western,"100,000 – 500,000","2,000 – 6,000",,,https://www.limelight.pk
Women → Western Wear,Off-White,Outfitters Active,Outfitters Basics,"100,000 – 500,000","2,000 – 6,000",,,https://outfitters.com.pk
Women → Western Wear,Versace Jeans Couture,Outfitters Denim Lab,Outfitters Denim,"100,000 – 500,000","2,000 – 6,000",,,https://outfitters.com.pk
Women → Western Wear,Burberry,Outfitters Coats & Jackets,Engine Outerwear,"100,000 – 500,000","2,000 – 6,000",,,https://engine.com.pk
Women → Western Wear,Michael Kors,Outfitters Smart Casual,Breakout Casual,"100,000 – 500,000","2,000 – 6,000",,,https://www.breakout.com.pk
Women → Western Wear,Zara Premium,Outfitters Everyday,Limelight Casual,"100,000 – 500,000","2,000 – 6,000",,,https://www.limelight.pk
Women → Western Wear,Massimo Dutti,Monark Women,Monark Casual,"100,000 – 500,000","2,000 – 6,000",,,https://monark.com.pk
Women → Western Wear,Ralph Lauren,Outfitters Formal Tops,Engine Tops,"100,000 – 500,000","2,000 – 6,000",,,https://engine.com.pk
Women → Western Wear,Tommy Hilfiger,Outfitters Streetwear,Breakout Streetwear,"100,000 – 500,000","2,000 – 6,000",,,https://www.breakout.com.pk
Women → Western Wear,Calvin Klein Jeans,Outfitters Denim Studio,Leisure Club Denim,"100,000 – 500,000","2,000 – 6,000",,,https://leisureclub.pk
Women → Western Wear,Armani Exchange,Outfitters Trend Line,Outfitters Basics,"100,000 – 500,000","2,000 – 6,000",,,https://outfitters.com.pk
Women → Western Wear,Hugo Boss,Outfitters Smart Wear,Limelight Basics,"100,000 – 500,000","2,000 – 6,000",,,https://www.limelight.pk
Women → Western Wear,Coach,Outfitters Western Fusion,Beechtree Western,"100,000 – 500,000","2,000 – 6,000",,,https://beechtree.pk
Women → Western Wear,Fendi,Outfitters Essentials,Khaadi Western Pret,"100,000 – 500,000","2,000 – 6,000",,,https://khaadi.com
Women → Western Wear,Valentino,Ethnic Luxe Fusion,Sapphire Western,"100,000 – 500,000","2,000 – 6,000",,,https://pk.sapphireonline.pk
Women → Western Wear,Alexander McQueen,Outfitters Winter Line,Breakout Winter,"100,000 – 500,000","2,000 – 6,000",,,https://www.breakout.com.pk
Women → Western Wear,Saint Laurent,Outfitters Classic,Limelight Classic,"100,000 – 500,000","2,000 – 6,000",,,https://www.limelight.pk
Women → Western Wear,Ralph & Russo,Outfitters Exclusive,Beechtree Basics,"100,000 – 500,000","2,000 – 6,000",,,https://beechtree.pk
Women → Western Wear,Tory Burch,Lama Basics,Zellbury Western,"100,000 – 500,000","2,000 – 6,000",,,https://zellbury.com
Women → Western Wear,Miu Miu,Outfitters Soft Casual,Sapphire Everyday,"100,000 – 500,000","2,000 – 6,000",,,https://pk.sapphireonline.pk
Women → Western Wear,Carolina Herrera,Ethnic Modern,Khaadi Fusion,"100,000 – 500,000","2,000 – 6,000",,,https://khaadi.com
Women → Western Wear,Max Mara,Outfitters Formal,Limelight Workwear,"100,000 – 500,000","2,000 – 6,000",,,https://www.limelight.pk
Women → Western Wear,Balmain,Outfitters Trendy,Engine Everyday,"100,000 – 500,000","2,000 – 6,000",,,https://engine.com.pk
Women → Western Wear,Diesel,Outfitters Denim Elite,Breakout Denim Studio,"100,000 – 500,000","2,000 – 6,000",,,https://www.breakout.com.pk
Women → Western Wear,Levi’s Premium,Outfitters Jeans Line,Outfitters Basic Denim,"100,000 – 500,000","2,000 – 6,000",,,https://outfitters.com.pk
Women → Bags,Louis Vuitton,HUB Leather (Signature Line),Stylo Bags,"200,000 – 800,000","3,000 – 20,000",,,https://stylo.pk
Women → Bags,Chanel,Jafferjees (Luxury Collection),Borjan Bags,"200,000 – 800,000","3,000 – 20,000",,,https://borjan.com.pk
Women → Bags,Prada,Mochari Handcrafted,ECS Bags,"200,000 – 800,000","3,000 – 20,000",,,https://ecs.com.pk
Women → Bags,Dior,HUB Premium,Unze London,"200,000 – 800,000","3,000 – 20,000",,,https://unze.com.pk
Women → Bags,Gucci,Jafferjees Classic,Servis Bags,"200,000 – 800,000","3,000 – 20,000",,,https://www.servis.pk
Women → Bags,Michael Kors,HUB Everyday,Stylo Handbags,"200,000 – 800,000","3,000 – 20,000",,,https://stylo.pk
Women → Bags,Coach,Jafferjees Women’s Range,ECS Ladies Bags,"200,000 – 800,000","3,000 – 20,000",,,https://ecs.com.pk
Women → Bags,Kate Spade,HUB Formal Line,Borjan Ladies Bags,"200,000 – 800,000","3,000 – 20,000",,,https://borjan.com.pk
Women → Bags,Tory Burch,Mochari Leather,Limelight Bags,"200,000 – 800,000","3,000 – 20,000",,,https://www.limelight.pk
Women → Bags,Fendi,HUB Crossbody Line,Khaadi Accessories,"200,000 – 800,000","3,000 – 20,000",,,https://khaadi.com
Women → Bags,Versace,HUB Luxe,Beechtree Bags,"200,000 – 800,000","3,000 – 20,000",,,https://beechtree.pk
Women → Bags,Valentino,Jafferjees Tote Line,Zellbury Bags,"200,000 – 800,000","3,000 – 20,000",,,https://zellbury.com
Women → Bags,Burberry,HUB Leather Work Bags,Stylo Office Bags,"200,000 – 800,000","3,000 – 20,000",,,https://stylo.pk
Women → Bags,Bottega Veneta,Mochari Textured,ECS Handbags,"200,000 – 800,000","3,000 – 20,000",,,https://ecs.com.pk
Women → Bags,Hermès,Jafferjees Heritage Line,Borjan Premium Bags,"200,000 – 800,000","3,000 – 20,000",,,https://borjan.com.pk
Women → Bags,Celine,HUB Casual Leather,Limelight Everyday Bags,"200,000 – 800,000","3,000 – 20,000",,,https://www.limelight.pk
Women → Bags,Balenciaga,HUB Trend Line,Sapphire Bags,"200,000 – 800,000","3,000 – 20,000",,,https://pk.sapphireonline.pk
Women → Bags,Miu Miu,Jafferjees Fashion Line,Warda Bags,"200,000 – 800,000","3,000 – 20,000",,,https://warda.com.pk
Women → Bags,Coach Outlet,HUB Minimalist Line,Stylo Mini Bags,"200,000 – 800,000","3,000 – 20,000",,,https://stylo.pk
Women → Bags,Ralph Lauren,HUB Everyday Collection,Khaadi Tote,"200,000 – 800,000","3,000 – 20,000",,,https://khaadi.com
Women → Bags,Longchamp,HUB Crossbody,ECS Small Bags,"200,000 – 800,000","3,000 – 20,000",,,https://ecs.com.pk
Women → Bags,Marc Jacobs,Mochari Shoulder Bags,Limelight Casual Bags,"200,000 – 800,000","3,000 – 20,000",,,https://www.limelight.pk
Women → Bags,Givenchy,Jafferjees Premium,Beechtree Casual Bags,"200,000 – 800,000","3,000 – 20,000",,,https://beechtree.pk
Women → Bags,Tory Burch,HUB Everyday Tote,Borjan Casual Bags,"200,000 – 800,000","3,000 – 20,000",,,https://borjan.com.pk
Women → Bags,Loewe,Mochari Croco Series,Stylo Trendy Bags,"200,000 – 800,000","3,000 – 20,000",,,https://stylo.pk
Women → Bags,Valentino Garavani,HUB Classic Line,Zellbury Premium Bags,"200,000 – 800,000","3,000 – 20,000",,,https://zellbury.com
Women → Bags,Michael Kors Outlet,HUB Workwear,Limelight Crossbody,"200,000 – 800,000","3,000 – 20,000",,,https://www.limelight.pk
Women → Bags,Saint Laurent,Jafferjees Luxe,Stylo Leather Touch,"200,000 – 800,000","3,000 – 20,000",,,https://stylo.pk
Women → Bags,Coach Signature,HUB Essentials,Khaadi Leather Bags,"200,000 – 800,000","3,000 – 20,000",,,https://khaadi.com
Women → Bags,Jimmy Choo,Mochari Luxe Clutches,ECS Evening Bags,"200,000 – 800,000","3,000 – 20,000",,,https://ecs.com.pk
Women → Watches,Rolex,Citizen (Official Retail PK),Sveston Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://svestonwatches.com
Women → Watches,Omega,Seiko (Authorized Dealers PK),Naviforce Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://naviforcewatch.com
Women → Watches,Cartier,Tissot (Authorized Retail PK),Curren Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://currenwatches.com
Women → Watches,Tag Heuer,Fossil Pakistan,Tomi Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://tomi.pk
Women → Watches,Longines,Daniel Wellington PK,Q&Q Watches,"400,000 – 1,500,000","5,000 – 25,000",,,https://qq-watch.jp
