id,name,category,brand,price,image_path,description
1,Bag A,bags,StyleCo,68,products\bags\bags_001.jpg,Stylish Bag A from StyleCo
2,Bag B,bags,ModernLook,154,products\bags\bags_002.jpg,Stylish Bag B from ModernLook
3,Bag C,bags,UrbanStyle,76,products\bags\bags_003.jpg,Stylish Bag C from UrbanStyle
4,Bag D,bags,LuxeLine,148,products\bags\bags_004.jpg,Stylish Bag D from LuxeLine
5,Bag E,bags,ElegantStyle,181,products\bags\bags_005.jpg,Stylish Bag E from ElegantStyle
6,Bag F,bags,ElegantStyle,188,products\bags\bags_006.jpg,Stylish Bag F from ElegantStyle
7,Bag G,bags,ClassicWear,94,products\bags\bags_007.jpg,Stylish Bag G from ClassicWear
8,Bag H,bags,ModernLook,140,products\bags\bags_008.jpg,Stylish Bag H from ModernLook
9,Bag I,bags,UrbanStyle,71,products\bags\bags_009.jpg,Stylish Bag I from UrbanStyle
10,Bag J,bags,ModernLook,134,products\bags\bags_010.jpg,Stylish Bag J from ModernLook
11,Bag K,bags,ChicBoutique,198,products\bags\bags_011.jpg,Stylish Bag K from ChicBoutique
12,Bag L,bags,UrbanStyle,188,products\bags\bags_012.jpg,Stylish Bag L from UrbanStyle
13,Bag M,bags,StyleCo,44,products\bags\bags_013.jpg,Stylish Bag M from StyleCo
14,Bag N,bags,CasualVibes,153,products\bags\bags_014.jpg,Stylish Bag N from CasualVibes
15,Bag O,bags,UrbanStyle,79,products\bags\bags_015.jpg,Stylish Bag O from UrbanStyle
16,Bag P,bags,UrbanStyle,157,products\bags\bags_016.jpg,Stylish Bag P from UrbanStyle
17,Bag Q,bags,ElegantStyle,75,products\bags\bags_017.jpg,Stylish Bag Q from ElegantStyle
18,Bag R,bags,StyleCo,122,products\bags\bags_018.jpg,Stylish Bag R from StyleCo
19,Bag S,bags,ElegantStyle,163,products\bags\bags_019.jpg,Stylish Bag S from ElegantStyle
20,Bag T,bags,CasualVibes,30,products\bags\bags_020.jpg,Stylish Bag T from CasualVibes
21,Shoe A,shoes,ClassicWear,95,products\shoes\shoes_021.jpg,Stylish Shoe A from ClassicWear
22,Shoe B,shoes,ModernLook,178,products\shoes\shoes_022.jpg,Stylish Shoe B from ModernLook
23,Shoe C,shoes,CasualVibes,136,products\shoes\shoes_023.jpg,Stylish Shoe C from CasualVibes
24,Shoe D,shoes,ModernLook,149,products\shoes\shoes_024.jpg,Stylish Shoe D from ModernLook
25,Shoe E,shoes,FashionHub,59,products\shoes\shoes_025.jpg,Stylish Shoe E from FashionHub
26,Shoe F,shoes,ChicBoutique,126,products\shoes\shoes_026.jpg,Stylish Shoe F from ChicBoutique
27,Shoe G,shoes,ClassicWear,78,products\shoes\shoes_027.jpg,Stylish Shoe G from ClassicWear
28,Shoe H,shoes,LuxeLine,61,products\shoes\shoes_028.jpg,Stylish Shoe H from LuxeLine
29,Shoe I,shoes,ElegantStyle,86,products\shoes\shoes_029.jpg,Stylish Shoe I from ElegantStyle
30,Shoe J,shoes,TrendyWear,165,products\shoes\shoes_030.jpg,Stylish Shoe J from TrendyWear
31,Shoe K,shoes,ModernLook,120,products\shoes\shoes_031.jpg,Stylish Shoe K from ModernLook
32,Shoe L,shoes,ChicBoutique,80,products\shoes\shoes_032.jpg,Stylish Shoe L from ChicBoutique
33,Shoe M,shoes,LuxeLine,108,products\shoes\shoes_033.jpg,Stylish Shoe M from LuxeLine
34,Shoe N,shoes,ModernLook,41,products\shoes\shoes_034.jpg,Stylish Shoe N from ModernLook
35,Shoe O,shoes,ModernLook,168,products\shoes\shoes_035.jpg,Stylish Shoe O from ModernLook
36,Shoe P,shoes,FashionHub,44,products\shoes\shoes_036.jpg,Stylish Shoe P from FashionHub
37,Shoe Q,shoes,ChicBoutique,180,products\shoes\shoes_037.jpg,Stylish Shoe Q from ChicBoutique
38,Shoe R,shoes,ModernLook,171,products\shoes\shoes_038.jpg,Stylish Shoe R from ModernLook
39,Shoe S,shoes,LuxeLine,155,products\shoes\shoes_039.jpg,Stylish Shoe S from LuxeLine
40,Shoe T,shoes,CasualVibes,63,products\shoes\shoes_040.jpg,Stylish Shoe T from CasualVibes
41,Watche A,watches,LuxeLine,239,products\watches\watches_041.jpg,Stylish Watche A from LuxeLine
42,Watche B,watches,FashionHub,201,products\watches\watches_042.jpg,Stylish Watche B from FashionHub
43,Watche C,watches,ClassicWear,219,products\watches\watches_043.jpg,Stylish Watche C from ClassicWear
44,Watche D,watches,TrendyWear,288,products\watches\watches_044.jpg,Stylish Watche D from TrendyWear
45,Watche E,watches,CasualVibes,184,products\watches\watches_045.jpg,Stylish Watche E from CasualVibes
46,Watche F,watches,LuxeLine,288,products\watches\watches_046.jpg,Stylish Watche F from LuxeLine
47,Watche G,watches,ChicBoutique,71,products\watches\watches_047.jpg,Stylish Watche G from ChicBoutique
48,Watche H,watches,ModernLook,101,products\watches\watches_048.jpg,Stylish Watche H from ModernLook
49,Watche I,watches,TrendyWear,141,products\watches\watches_049.jpg,Stylish Watche I from TrendyWear
50,Watche J,watches,StyleCo,168,products\watches\watches_050.jpg,Stylish Watche J from StyleCo
