Brand,Website,ScraperType
J. (Junaid Jamshed),https://www.junaidjamshed.com/mens/kameez-shalwar.html,
Bonanza Satrangi,https://bonanzasatrangi.com/collections/men-sweater,shopify_json
Edenrobe,https://edenrobe.com/collections/men,shopify_json
Uniworth,https://uniworthshop.com/shirts,
Outfitters,https://outfitters.com.pk/collections/men-products,shopify_json
Royal Tag,https://royaltag.com.pk,
Diners,https://diners.com.pk/collections/men,nan
Lawrencepur,https://lawrencepur.com/collections/men-ready-to-wear,shopify_json
Charcoal,https://charcoal.com.pk/collections/new-arrival,shopify_json
Monark,https://monark.com.pk/collections/men,
Cambridge,https://thecambridgeshop.com/collections/all,shopify_json
Breakout,https://breakout.com.pk/collections/men,shopify_json
Engine,https://engine.com.pk/collections/men,shopify_json
Limelight,https://www.limelight.pk/collections/men-main,shopify_json
Stylo,https://stylo.com.pk/collections/men,
Borjan,https://www.borjan.com.pk/collections/men-footwear,shopify_json
Khaadi,https://pk.khaadi.com/fragrances/,
Sveston Watches,https://en-pk.svestonwatches.com/collections/mens-wrist-watches?pb=0,shopify_json
Naviforce,https://naviforcewatches.pk/men/,
Curren,https://www.currenwatches.com/collections/all,shopify_json
Tomi,https://tomiwatches.pk/collections/all,shopify_json
Q&Q,https://qq-watches.com,nan
Skmei,https://skmei-watch.com,
Service,https://servis.pk/collections/men,shopify_json
Unze,https://unze.com.pk/collections/men-shoes-shoes,shopify_json
