0,1,2
Brand,Category,Website
Farasha,"(summer essentials)----->women lawn,        (summer essentials )----->women unstiched                                          (LU`ZELLA PREMIUM FORMALS) --->women  luxe",Farasha Official
,,
LAAM,"(3pc stiched)---->women lawn,                       (2pc stiched)-----> women kurta ,              (Luxury Pret)---->women luxe",LAAM Official
Mataish Couture,(Daily wear)  / (luxury pret),Mataish Couture
Nazmina,(frocks &maxi) ----->anarkali frocks,Nazmina Official
Sowears,(Long Floral Dresses) ----->anarkali frocks,Sowears Official
,,
Tarz-e-Rang,(formals)---->women luxe,Tarz-e-Rang
Amna Ali Nawaz,"summer (3pc lawn)----> women lawn,                        summer(2pc co ords)------> women short kurti",Amna Ali Nawaz
Ayesha B,"Pret(3pc)---> women lawn,     ",ayeshab.com
Azure,Chic essentials(smart casual)   2pc----> women kurta,Azure Official
,,
Ramsha,(lawn ---->  Andaaz collection)  -----> women lawn                  ,Ramsha Official
Mannat,(new arrivals)-----> women lawn,Mannat Clothing
Shigar Fashion,"(shop by category---->short shirts) ------>women kurta,              (shop by category---->long  shirts)------>women kurta",Shigar Fashion
Peach Republic,"(co ord set)----> women short kurti,           (dresses)-----> anarkali frocks,        ",Peach Republic
OMAL (Omal by Komal),"(Eid Edit'26)-----> women lawn       ,       ",Omal by Komal
preet pret,(new arrivals)-----> women lawn,www.preetpret.pk
,"(Sumer Wear 2pc)---->women kurta,             (Sumer Wear 3pc)----> women lawn",www.pezwaan.com
